timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1013466896379,-33,-44,-5,-10,-26,-28,-50,-8
1013466896379,64,11,-5,5,1,-3,98,-15
1013466897192,22,-22,-10,-13,-4,16,82,56
1013466897192,29,24,11,4,14,-24,1,-34
1013466910675,-69,-29,-1,4,-6,-3,-7,-28
1013466910675,-87,-10,-7,12,85,75,-18,3
1013466918889,47,34,-6,-16,-38,-98,17,26
1013466918889,7,3,4,-4,-38,-71,12,31
1013466933847,22,-37,-2,0,15,2,-39,-16
1013466933847,-21,17,-2,1,5,-5,-7,-23
1013466934654,27,-14,-2,10,9,38,-34,-6
1013466934654,-41,19,0,-7,67,39,3,78
1013466956381,13,15,8,24,-46,-27,-7,8
1013466956381,0,-11,-2,-16,-11,-41,-1,-20
1013466957182,-73,-7,-8,-9,19,53,-18,-13
1013466957182,-9,-8,-7,-3,29,-1,-58,-14
1013466970664,19,-4,5,-4,-5,-18,12,7
1013466970664,37,14,5,2,-44,-5,-11,22
1013466978890,5,10,9,30,44,7,17,9
1013466978890,-20,-13,-8,-26,-14,29,-33,-13
1013466993866,-4,-19,-9,-16,18,-12,12,-3
1013466993866,39,24,-3,14,-9,12,9,7
1013466994687,5,6,13,6,11,50,-8,24
1013466994687,31,-5,1,24,3,-59,-12,-10
1013467016396,-44,-13,-6,3,-45,6,20,-15
1013467016396,-20,-8,-2,15,-15,-65,-16,-5
1013467017189,6,4,1,33,-3,0,-2,-15
1013467017189,21,14,6,-52,-25,66,-4,21
1013467030711,35,18,0,30,65,58,22,-5
1013467030711,-8,-12,6,-26,-24,-44,-2,8
1013467038894,-31,-22,-6,-13,-38,-39,-28,-10
1013467038894,-20,8,-10,14,-18,6,8,-5
1013467053884,24,10,8,-13,8,-36,-1,3
1013467053884,48,22,4,2,-16,42,15,30
